batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
Naman Dhir,7,140,84,12,10,6,2,20.0,166.66666666666669,0.2619047619047619,0.2857142857142857,0.8571428571428571,7,Finisher
Navdeep Saini,1,2,2,0,0,1,0,2.0,100.0,0.0,0.0,1.0,8,Finisher
Naveen-ul-Haq,4,18,26,2,0,1,0,4.5,69.23076923076923,0.07692307692307693,0.0,0.25,10,Finisher
Nithish Kumar Reddy,11,303,221,15,21,9,4,27.545454545454547,137.10407239819006,0.16289592760180996,0.36363636363636365,0.8181818181818182,4,Middle-order
Noor Ahmad,5,13,18,2,0,4,0,2.6,72.22222222222221,0.1111111111111111,0.0,0.8,10,Finisher
OC McCoy,1,8,5,0,1,0,0,8.0,160.0,0.2,0.0,0.0,9,Finisher
OF Smith,6,51,50,1,5,3,0,8.5,102.0,0.12,0.0,0.5,7,Finisher
P Dubey,2,23,33,2,0,1,0,11.5,69.6969696969697,0.06060606060606061,0.0,0.5,8,Finisher
P Simran Singh,33,740,510,77,40,32,9,22.424242424242426,145.09803921568627,0.22941176470588234,0.2727272727272727,0.9696969696969697,2,Opener
PBB Rajapaksa,13,277,201,22,15,12,5,21.307692307692307,137.81094527363186,0.18407960199004975,0.38461538461538464,0.9230769230769231,3,Anchor
PD Salt,21,653,385,74,34,19,9,31.095238095238095,169.6103896103896,0.2805194805194805,0.42857142857142855,0.9047619047619048,2,Opener
PJ Cummins,30,438,303,28,30,19,7,14.6,144.55445544554456,0.19141914191419143,0.23333333333333334,0.6333333333333333,7,Finisher
PJ Sangwan,1,2,6,0,0,1,0,2.0,33.33333333333333,0.0,0.0,1.0,8,Finisher
PK Garg,19,273,247,16,9,18,2,14.368421052631579,110.5263157894737,0.10121457489878542,0.10526315789473684,0.9473684210526315,2,Opener
PN Mankad,5,97,75,13,2,3,1,19.4,129.33333333333331,0.2,0.2,0.6,3,Anchor
PP Chawla,11,40,39,2,2,7,0,3.6363636363636362,102.56410256410255,0.10256410256410256,0.0,0.6363636363636364,8,Finisher
PP Shaw,54,1294,886,166,42,53,19,23.962962962962962,146.04966139954854,0.23476297968397292,0.35185185185185186,0.9814814814814815,1,Opener
PVD Chameera,7,43,32,3,3,3,0,6.142857142857143,134.375,0.1875,0.0,0.42857142857142855,8,Finisher
PWH de Silva,14,72,80,7,1,10,0,5.142857142857143,90.0,0.1,0.0,0.7142857142857143,8,Finisher
Q de Kock,57,1704,1276,161,69,53,21,29.894736842105264,133.54231974921632,0.18025078369905956,0.3684210526315789,0.9298245614035088,4,Middle-order
R Ashwin,39,425,348,29,18,24,3,10.897435897435898,122.12643678160919,0.13505747126436782,0.07692307692307693,0.6153846153846154,3,Anchor
R Dhawan,6,57,53,5,3,3,0,9.5,107.54716981132076,0.1509433962264151,0.0,0.5,7,Finisher
R Parag,53,1013,776,67,55,41,11,19.11320754716981,130.54123711340208,0.15721649484536082,0.20754716981132076,0.7735849056603774,4,Middle-order
R Powell,22,360,254,21,28,19,5,16.363636363636363,141.73228346456693,0.19291338582677164,0.22727272727272727,0.8636363636363636,8,Finisher
R Ravindra,10,222,146,22,12,9,3,22.2,152.05479452054794,0.2328767123287671,0.3,0.9,3,Anchor
R Sai Kishore,1,13,6,0,2,1,0,13.0,216.66666666666666,0.3333333333333333,0.0,1.0,9,Finisher
